Nom;Pare;Estatus;Nivell;Utilitza
5.4.4Pastissos;Fred;4;3;56
5.4.1Braços;Fred;4;3;12
5.4.5Safata;Fred;4;3;0
5.2.2Coques Brioix;Coques;4;3;06
5.2.1Coca amb Motllo;Coques;4;3;1239
5.6.4Placa;Full;4;3;4
5.6.3Pasta Individual;Full;4;3;13
5.7.1Galetes Postre;Galetes;4;3;0
5.2.4Pastís Peça Petita;Coques;4;3;5
5.3.3Mini Crus;Cru;4;3;04
4.1.2Pa Blanc Barres;Blanc;4;3;345
4.8.3Sobat Rosca;Sobats;4;3;2
4.7.2Sense Sal Rodó;Sense Sal;4;3;1
4.4.1Motllo blanc;Motllo;4;3;0
5.5.1Berlines;Fregit;4;3;0
5.1.3Ensaimades;Bolleria;4;3;34
5.3.2Coques Crues;Cru;4;3;1235
1.2.4Mat.Prim.Bàsiques;Matèries Primes;4;3;89
 Amanides;Article;NULL;1;NULL
